Protein IDs,Symbols,log2FC,adj.pvalue
P15941;B4DWK6;B1AVQ5;A5YRU5;A6ZID5;B6ECA3;A5YRU8;A5YRV0;A6ZIE0;B1AVQ7;A5YRV2;A6ZIE2;A6ZID6;A6ZID7;Q7Z546;A5YRU7;A6ZIE3;B6ECB3;A6ZIE4;B6ECB2;A6ZIE6;A6ZIE7;Q7Z549;A6ZIE5;A6ZIF0;Q7Z551;Q7Z536;B6ECA9;B6ECB0;A5YRU9;A6ZIE1;B6EC96;B6ECB1,MUC1,-0.68550903701283,0.0687426
A8K2T6;P21709;B5A967;B5A966,EPHA1,-0.85100460016604,0.0343684
P09228,CST2,-1.5689777614871,0.000134345
Q8NBQ5;D6RCD0,HSD17B11,3.20157125069727,2.90224e-7
Q9NPF0;M0R100,CD320,-1.83141184288698,2.49506e-5
A8K1U9;Q15022;J3QQW9,SUZ12,-0.71503993083937,0.162414
Q5FWE3;B4DK01,PRRT3,-1.01868492564094,0.0382417
Q6P597;K7EL76;K7ENJ3;K7ELP9,KLC3,-0.96862453001847,0.0480142
B7ZKZ4;P43694;Q16365;B3KUF4;E9PKS4;Q86VU4;D9ZGF7;Q9BWX5;Q8WYX6;Q13222,GATA4;GATA5,-0.71318839799453,0.135466
O60299,,-0.64587410030609,0.183428
O43805;C9JNU9,SSNA1;USP4,-1.95609681756408,2.17649e-6
D0IN09;Q6ZMT1,STAC2,-1.37540921093139,0.00598285
A7E244;B7ZVY9;Q20WK7;Q9BXI6;B5MD46;B3KSB3;F8WCD1;H0Y2U5;H0Y5R9;H7C471,TBC1D10A,-1.38107478078545,0.000744142
P58107;Q9NSU9,EPPK1,-0.98224579055663,0.00953874
Q5T0W9,FAM83B,-1.19172798884634,0.0106779
Q96H79,ZC3HAV1L,-0.97718019655102,0.0253453
P15529;B4DL30;Q92494,CD46,-1.60569906325892,0.00036944
D7UNW5;Q24JS2;Q8NCL4;B4DL56;S4R3S5;B3KRZ8;S4R3A9;S4R3M3;S4R345;S4R310;S4R396;S4R355,GALNT6,-1.26953295527886,0.00520124
P00966;Q5T6L4;A8KAP9;Q5T6L6;Q5T6L5;B4E395;Q8NFZ7,ASS1,-1.66382797923278,2.29344e-5
Q53HS1;Q9NRG9;B4DDU7;F8VZ44;H3BU82;F8VUB6;D9DBT1;D9DBT0;D9DBT3,AAAS,-1.13472736715239,0.0101523
Q9BTX1;B4DQQ5;G3XA81;B4DHA3;B4DZG6,NDC1,-1.19484290486046,0.00613889
C0KK01;C9E1I4,,-0.65118183305293,0.100605
P10909;H0YC35;H0YLK8;E7ERK6;E7ETB4;B4DW11;H0YAS8;E5RJZ5;Q8IWL5;E5RH61;E5RGB0;E5RG36;Q8IWM0;Q6LDQ3,CLU,-1.15200741780474,0.00448389
Q96LD4;Q96AD0,TRIM47,-0.99817195724219,0.0480759
Q2I0M4,LRRC26,-1.91508196892233,1.03765e-5
Q6WKZ4;E7EX40;Q4JIW2;Q67C35;Q6WKZ3;B3KRW2;Q6WKZ5;Q8NF43,RAB11FIP1,-0.95234154482341,0.0100656
P35520;B7Z2D6;Q9NTF0;B7Z6W5;F5H2U1;H7C2H4;Q96EH7;C9JMA6,CBS,-1.53260489268931,0.000189937
Q99674,CGREF1,2.13304215579714,0.000685715
Q9BUF5;B4DP54;B3KS31;K7ESM5;B4E386;K7EL29;K7EN98;K7ES63;K7EPE5;K7EJZ4;K7ERA8;K7EJ64;K7EQT3;K7ESQ3,TUBB6,-1.14674131391177,0.00219876
A6NMH8;E9PIF1;P60033;H0YDJ9;H0YDL9;E9PRJ8;E9PJK1;H0YEE2;E9PM31,CD81,-1.03406409418475,0.0239788
O15393;Q96T73;C9JKZ3;C9J5Y1;C9JB05,TMPRSS2,-0.85177701484705,0.10722
B2RDG1;Q8WVX9;Q9H600;E9PNW8;E9PPB8,FAR1,-0.88043607489163,0.0442393
B1AKJ5;O43847;G3V1R5;Q6UUU9;B4DRI0;Q96L67;H0Y5G9;F5H7V1;B4DYV0,NRD1,-1.63271974862701,0.000291683
P61024;Q5T178;Q5T179;Q9BZU3;D3DV79,CKS1B,-1.79165888928243,1.38355e-5
F8TLS5;F8TLW0;P07949;Q9UMQ4;B4DGX8;C9JYL6,RET,-1.16346915401016,0.0359052
Q9BRX5,GINS3,-1.69890322905743,0.00110479
D2KZ22;J7RMN3;N1NSZ5;A4FRG0;A8K861;C0KXH2;C5J3Z7;C6K6H9;I6QS32;M4QFU4;P18463;P30460;P30462;P30480;Q1ZZH2;Q29637;Q2YHR9;Q52QV7;Q5SS57;Q7YQ88;S6EYQ3;B6DUD5;C0KZ90;P30492;Q54A64;O19691;F0VRV8;F4NBP5;F4NBU2;Q6IUU8;R5A8X2;F4NC18;F4NC20;R4ZGR3;R4ZGR5;A6H580;G9DBH0;G9DBH1;I2GAD8;D5H3H6;I7JHQ8;L8E9Q0;R5AK04;Q56H30;Q56H29;A1Z0M3;A5PI53;A7MAE0;A7WPJ0;A7XBN0;B2NJ16;C8ZLL2;D6CIN1;E0WMY5;E1Y6U0;E3Q1J1;E3UPB1;I7GGT2;J7HH07;Q1EPW1;Q306J9;Q4A1W0;Q6F3E1;Q6IV50;Q8HWL6;Q9GJF5;B2DG01;B2DG28;D2KZ25;E3WH39;F2XI44;H7CHW9;I6QND5;J7RE59;M4VLN4;Q4ZG95;Q5NT48;S5LQY8;A4FRG1;C5MK49;C6K6I9;C6K6J4;D9UB12;E5FQ57;P30466;P30493;Q29940;Q3ZV43;Q6H8L0;Q70CQ0;S4VE60;S6AU73;S6FM53;F6IQR2;F6IQR4;F4YTG2;F4YTG3;F4NBT8;E9RJS5;E9RKB1;F4NBS0;F4NC21;F4NC22;F4NC23;F4NC33;F4YTD7;Q45FY3;Q45FY4;Q45FY5;F4NC19;A5PHT2;A1YWK4;E3VSS8;F2VS03;Q5ND74;M5EFF8;A0MNW2;A2VBX9;A7MAK0;A9JIG5;B1A4T5;B2DFX1;B2DG02;B2DG29;B2NIZ4;B5U8C8;B6EBD8;B6EBD9;C6L834;C7DUX4;D0V0N1;D1MZU0;D5L2Y1;D9UAX6;E3Q0X3;E9RKA6;F5BWX2;G0WJE9;G0Z6Y5;G3LHV2;H6SSQ3;H6UWY6;I0DFJ4;I7HFK0;I7HHI0;I7LP08;J7HI06;J7QJV5;K4UF67;L7QJ92;M5A8K4;M5EE36;Q09JY6;Q1MW38;Q1XG70;Q306H4;Q3LSM8;Q53TZ9;Q5S268;Q5XL22;Q6F3G9;Q6J4L1;R4MU36;R5AK17;S5DNB1;Q5NT47;E5FQ93;P30479;F4NBT7;R5AJY6;Q29674;Q95IE7;Q5W3L5;A4UQL5;E9ABX7;Q29947,HLA-B,-1.25061056524366,0.0254741
Q9NR33,POLE4,-1.71070214623165,0.000712818
P35613;Q54A51;B4DY23;B4DNE1;I3L192;R4GMX5;R4GN83;A8MZ77,BSG,-1.89031418869079,1.35077e-5
Q504R6;P51153;D3DV69;G5EMR7;G5ELZ5;G5ELZ6;H0YL94;H0YLJ8;Q53SX4,RAB13;RAB8B,-1.30419310715381,0.000360604
P23634;Q68DH9;A7E2D8;A8K8U3;Q16720;A1L3B5;A1X4Q1;Q01814;Q4LE63;H0Y7S3;Q4J697;A1X4P8;A1X4Q2;H7BY13;H7BZS8;H0YDG5,ATP2B2;ATP2B3;ATP2B4,-1.09660858676684,0.0163951
P04083;Q5TZZ9;B5BU38;Q5T3N1;B4DL19;Q5T3N0;Q05BR2,ANXA1,-1.40478636933292,0.000145164
Q5K4L6;H7BZH4;H0YDM5;H0YDP0,SLC27A3,-1.36845887751516,0.000177583
P49961;R4GMQ9,ENTPD1,-1.26615910539306,0.00671675
O95817;Q53GY1;C9JFK9,BAG3,-1.43351216549496,0.00153333
Q14149;Q4VBZ9;A2RU29;B4DHJ4,MORC3,-1.10027532752297,0.0259469
Q9BV57,ADI1,-1.23449501566901,0.000750273
Q9UPU5;B7WPF4,USP24,-0.73219938991339,0.0949295
O94804;H0YB71,STK10,-0.92142200861957,0.0663902
O95382;H0Y894,MAP3K6,-0.67372728930311,0.182713
Q15392;B7Z817;Q3LIE7;B7ZAV4;B7Z919;F5H0H1;B7Z546;H7C4B7;B7Z943,DHCR24,-1.02889299610897,0.00642028
Q9H4G0;B7Z653;B3KUB6;Q4VXN0;Q4VXN5;Q4VXN6;H7C2K6;Q4VXN1;Q7Z3C9;Q4VXN7;A8K968;B3KY28;B2RB02;H0Y482;Q29RW3;Q4VXN8;Q4VXN2,EPB41L1;EPB41L3,-1.3065015736095,0.000351772
P20962;A2VCM6;O15256,PTMS,-1.268407461756,0.013418
P12532;F8WCN3;B4DH34;E9PCP8;B4DFE8;B4DF55;B4DGR9;C9JSQ1;J3KQ93;C9JT96;B4DF72;B4DJW9;C9J6W7;B4DKA2;C9J8F6;B7Z9T7;C9J995;C9JJX8;B2R8A3;P17540;B3KVA7;B4DFA3;B4DEL4,CKMT1A;CKMT1B;CKMT2,-1.3064053137235,0.000434587
Q96SK2;H7BXV2;C9JYX1;C9J5K4,TMEM209,0.89818018738203,0.164223
O95864;Q9Y5Q0;E9PS00;B7Z345;F5H2V5;E9PKP8;Q59FV3;E9PQC2;E9PPZ4;B3KNI9;B3KVS0;B3KNG5;F5H8G5;E5RGZ5,FADS1;FADS2;FADS3,-1.79233276245125,7.58403e-7
Q9UI08;B7Z3I5;B4DW58;H0YJN0;G3V314;H0YJL6,EVL,-0.91348297582601,0.0877752
Q7L5L3,GDPD3,-1.29099063334333,0.00041544
Q59GX7;O00767,SCD,1.80143262779777,2.90461e-5
Q96T88;B4E0F9,UHRF1,-0.68707469931231,0.159762
P29353;B4DL02;Q59HB0;H0Y539;Q5T182;Q5T181;Q5T188;Q8NFT1;Q8NFT0;Q6S5L8;P98077,SHC1;SHC2;SHC4,-1.3431582746472,0.000235538
Q6FII1;Q9Y2Q3;Q2NLC8;E9PFN5;C9JNT3;B3KTA6,GSTK1,-1.13772148761578,0.00239521
P60520;H3BSM5;H3BQ50,GABARAPL2,-1.09835745966023,0.0127969
F5GY24;E7ESE7;Q14693;B4DGS4;B4DGZ6;Q68CS2;B4DET9;A8MU38;H7C3T1,LPIN1,-1.10939918720636,0.0173564
G0Z349;O14896;B2R762;B1AJU4,IRF6,-1.01042902501225,0.00618808
